"Código","Unidade Territorial","UF","Referência","Número de famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Número de famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor médio do benefício do Programa Bolsa Família (até outubro/2021)","Valor médio do benefício do Programa Bolsa Família (a partir de março/2023)"
"250030","ALAGOA GRANDE","PB","11/2019","4610","","790812","","171,54",""
"250030","ALAGOA GRANDE","PB","01/2012","4632","","531030","","114,64",""
"250030","ALAGOA GRANDE","PB","07/2012","4414","","590984","","133,89",""
"250030","ALAGOA GRANDE","PB","02/2019","4772","","835269,00","","175,04",""
"250030","ALAGOA GRANDE","PB","04/2019","4810","","836388,00","","173,89",""
"250030","ALAGOA GRANDE","PB","05/2019","4833","","836219","","173,02",""
"250030","ALAGOA GRANDE","PB","07/2019","4713","","816511","","173,25",""
"250030","ALAGOA GRANDE","PB","10/2019","4657","","798942","","171,56",""
"250030","ALAGOA GRANDE","PB","04/2012","4593","","552658","","120,33",""
"250030","ALAGOA GRANDE","PB","06/2019","4752","","822073","","173,00",""
"250030","ALAGOA GRANDE","PB","11/2009","4262","","432315","","101,43",""
"250030","ALAGOA GRANDE","PB","01/2015","5250","","846080","","161,16",""
"250030","ALAGOA GRANDE","PB","09/2012","4480","","612830","","136,79",""
"250030","ALAGOA GRANDE","PB","04/2009","4369","","400582","","91,69",""
"250030","ALAGOA GRANDE","PB","02/2015","5249","","847559","","161,47",""
"250030","ALAGOA GRANDE","PB","06/2009","4356","","399376","","91,68",""
"250030","ALAGOA GRANDE","PB","01/2009","4421","","401240","","90,76",""
"250030","ALAGOA GRANDE","PB","03/2015","5234","","846783","","161,79",""
"250030","ALAGOA GRANDE","PB","04/2015","5182","","839760","","162,05",""
"250030","ALAGOA GRANDE","PB","08/2012","4484","","605838","","135,11",""
"250030","ALAGOA GRANDE","PB","05/2015","5189","","846028","","163,04",""
"250030","ALAGOA GRANDE","PB","06/2015","5166","","841491","","162,89",""
"250030","ALAGOA GRANDE","PB","07/2015","5159","","838677","","162,57",""
"250030","ALAGOA GRANDE","PB","08/2015","5151","","835420","","162,19",""
"250030","ALAGOA GRANDE","PB","12/2015","4957","","801058","","161,60",""
"250030","ALAGOA GRANDE","PB","10/2012","4489","","621918","","138,54",""
